,Area,Element,Unit,Year,Value
168,Austria,Production,tonnes,2002,15499.0
169,Austria,Production,tonnes,2003,16050.0
170,Austria,Production,tonnes,2004,17602.0
171,Austria,Production,tonnes,2005,16291.0
172,Austria,Production,tonnes,2006,14488.0
173,Austria,Production,tonnes,2007,14612.0
174,Austria,Production,tonnes,2008,19363.0
175,Austria,Production,tonnes,2009,17108.0
176,Austria,Production,tonnes,2010,16426.0
177,Austria,Production,tonnes,2011,14239.0
178,Austria,Production,tonnes,2012,9918.0
179,Austria,Production,tonnes,2013,14946.0
180,Austria,Production,tonnes,2014,14470.0
181,Austria,Production,tonnes,2015,13368.0
182,Austria,Production,tonnes,2016,9807.0
183,Austria,Production,tonnes,2017,11567.0
184,Austria,Production,tonnes,2018,10880.0
185,Austria,Production,tonnes,2019,13580.0
186,Belarus,Area harvested,ha,1992,6000.0
187,Belarus,Area harvested,ha,1993,6500.0
188,Belarus,Area harvested,ha,1994,6000.0
189,Belarus,Area harvested,ha,1995,5500.0
190,Belarus,Area harvested,ha,1996,6000.0
191,Belarus,Area harvested,ha,1997,5300.0
192,Belarus,Area harvested,ha,1998,6000.0
193,Belarus,Area harvested,ha,1999,6200.0
194,Belarus,Area harvested,ha,2000,6000.0
195,Belarus,Area harvested,ha,2001,6100.0
196,Belarus,Area harvested,ha,2002,6000.0
197,Belarus,Area harvested,ha,2003,6500.0
198,Belarus,Area harvested,ha,2004,6300.0
199,Belarus,Area harvested,ha,2005,6900.0
200,Belarus,Area harvested,ha,2006,7300.0
201,Belarus,Area harvested,ha,2007,7700.0
202,Belarus,Area harvested,ha,2008,6000.0
203,Belarus,Area harvested,ha,2009,7000.0
204,Belarus,Area harvested,ha,2010,6200.0
205,Belarus,Area harvested,ha,2011,8100.0
206,Belarus,Area harvested,ha,2012,8500.0
207,Belarus,Area harvested,ha,2013,9000.0
208,Belarus,Area harvested,ha,2014,9000.0
209,Belarus,Area harvested,ha,2015,9500.0
210,Belarus,Area harvested,ha,2016,9280.0
211,Belarus,Area harvested,ha,2017,8667.0
212,Belarus,Area harvested,ha,2018,8741.0
213,Belarus,Area harvested,ha,2019,8851.0
214,Belarus,Yield,hg/ha,1992,32000.0
215,Belarus,Yield,hg/ha,1993,41538.0
216,Belarus,Yield,hg/ha,1994,31667.0
217,Belarus,Yield,hg/ha,1995,36000.0
218,Belarus,Yield,hg/ha,1996,37000.0
219,Belarus,Yield,hg/ha,1997,38302.0
220,Belarus,Yield,hg/ha,1998,26000.0
221,Belarus,Yield,hg/ha,1999,19194.0
222,Belarus,Yield,hg/ha,2000,21667.0
223,Belarus,Yield,hg/ha,2001,29016.0
224,Belarus,Yield,hg/ha,2002,44167.0
225,Belarus,Yield,hg/ha,2003,32000.0
226,Belarus,Yield,hg/ha,2004,42063.0
227,Belarus,Yield,hg/ha,2005,51014.0
228,Belarus,Yield,hg/ha,2006,65479.0
229,Belarus,Yield,hg/ha,2007,54286.0
230,Belarus,Yield,hg/ha,2008,79000.0
231,Belarus,Yield,hg/ha,2009,77143.0
232,Belarus,Yield,hg/ha,2010,95161.0
233,Belarus,Yield,hg/ha,2011,61728.0
234,Belarus,Yield,hg/ha,2012,55294.0
235,Belarus,Yield,hg/ha,2013,72444.0
236,Belarus,Yield,hg/ha,2014,70889.0
237,Belarus,Yield,hg/ha,2015,94737.0
238,Belarus,Yield,hg/ha,2016,90776.0
239,Belarus,Yield,hg/ha,2017,88390.0
240,Belarus,Yield,hg/ha,2018,90448.0
241,Belarus,Yield,hg/ha,2019,92517.0
242,Belarus,Production,tonnes,1992,19200.0
243,Belarus,Production,tonnes,1993,27000.0
244,Belarus,Production,tonnes,1994,19000.0
245,Belarus,Production,tonnes,1995,19800.0
246,Belarus,Production,tonnes,1996,22200.0
247,Belarus,Production,tonnes,1997,20300.0
248,Belarus,Production,tonnes,1998,15600.0
249,Belarus,Production,tonnes,1999,11900.0
250,Belarus,Production,tonnes,2000,13000.0
251,Belarus,Production,tonnes,2001,17700.0
252,Belarus,Production,tonnes,2002,26500.0
253,Belarus,Production,tonnes,2003,20800.0
254,Belarus,Production,tonnes,2004,26500.0
255,Belarus,Production,tonnes,2005,35200.0
256,Belarus,Production,tonnes,2006,47800.0
257,Belarus,Production,tonnes,2007,41800.0
258,Belarus,Production,tonnes,2008,47400.0
259,Belarus,Production,tonnes,2009,54000.0
260,Belarus,Production,tonnes,2010,59000.0
261,Belarus,Production,tonnes,2011,50000.0
262,Belarus,Production,tonnes,2012,47000.0
263,Belarus,Production,tonnes,2013,65200.0
264,Belarus,Production,tonnes,2014,63800.0
265,Belarus,Production,tonnes,2015,90000.0
266,Belarus,Production,tonnes,2016,84240.0
267,Belarus,Production,tonnes,2017,76608.0
268,Belarus,Production,tonnes,2018,79061.0
269,Belarus,Production,tonnes,2019,81887.0
270,Belgium,Area harvested,ha,2000,1300.0
271,Belgium,Area harvested,ha,2001,1400.0
272,Belgium,Area harvested,ha,2002,1300.0
273,Belgium,Area harvested,ha,2003,1076.0
274,Belgium,Area harvested,ha,2004,1148.0
275,Belgium,Area harvested,ha,2005,1139.0
276,Belgium,Area harvested,ha,2006,1700.0
277,Belgium,Area harvested,ha,2007,1700.0
278,Belgium,Area harvested,ha,2008,1600.0
279,Belgium,Area harvested,ha,2009,1500.0
280,Belgium,Area harvested,ha,2010,1550.0
281,Belgium,Area harvested,ha,2011,1550.0
282,Belgium,Area harvested,ha,2012,1600.0
283,Belgium,Area harvested,ha,2013,1600.0
284,Belgium,Area harvested,ha,2014,1700.0
285,Belgium,Area harvested,ha,2015,1700.0
286,Belgium,Area harvested,ha,2016,1900.0
287,Belgium,Area harvested,ha,2017,1976.0
288,Belgium,Area harvested,ha,2018,1970.0
289,Belgium,Area harvested,ha,2019,1970.0
290,Belgium,Yield,hg/ha,2000,353846.0
291,Belgium,Yield,hg/ha,2001,295000.0
292,Belgium,Yield,hg/ha,2002,307692.0
293,Belgium,Yield,hg/ha,2003,381041.0
294,Belgium,Yield,hg/ha,2004,383275.0
295,Belgium,Yield,hg/ha,2005,368745.0
296,Belgium,Yield,hg/ha,2006,238235.0
297,Belgium,Yield,hg/ha,2007,241176.0
298,Belgium,Yield,hg/ha,2008,233750.0
299,Belgium,Yield,hg/ha,2009,220000.0
300,Belgium,Yield,hg/ha,2010,225806.0
301,Belgium,Yield,hg/ha,2011,241935.0
302,Belgium,Yield,hg/ha,2012,253125.0
303,Belgium,Yield,hg/ha,2013,224375.0
304,Belgium,Yield,hg/ha,2014,231176.0
305,Belgium,Yield,hg/ha,2015,282353.0
306,Belgium,Yield,hg/ha,2016,236842.0
307,Belgium,Yield,hg/ha,2017,240385.0
308,Belgium,Yield,hg/ha,2018,243655.0
309,Belgium,Yield,hg/ha,2019,243655.0
310,Belgium,Production,tonnes,2000,46000.0
311,Belgium,Production,tonnes,2001,41300.0
312,Belgium,Production,tonnes,2002,40000.0
313,Belgium,Production,tonnes,2003,41000.0
314,Belgium,Production,tonnes,2004,44000.0
315,Belgium,Production,tonnes,2005,42000.0
316,Belgium,Production,tonnes,2006,40500.0
317,Belgium,Production,tonnes,2007,41000.0
318,Belgium,Production,tonnes,2008,37400.0
319,Belgium,Production,tonnes,2009,33000.0
320,Belgium,Production,tonnes,2010,35000.0
321,Belgium,Production,tonnes,2011,37500.0
322,Belgium,Production,tonnes,2012,40500.0
323,Belgium,Production,tonnes,2013,35900.0
324,Belgium,Production,tonnes,2014,39300.0
325,Belgium,Production,tonnes,2015,48000.0
326,Belgium,Production,tonnes,2016,45000.0
327,Belgium,Production,tonnes,2017,47500.0
328,Belgium,Production,tonnes,2018,48000.0
329,Belgium,Production,tonnes,2019,48000.0
330,Belgium-Luxembourg,Area harvested,ha,1961,400.0
331,Belgium-Luxembourg,Area harvested,ha,1962,400.0
332,Belgium-Luxembourg,Area harvested,ha,1963,400.0
333,Belgium-Luxembourg,Area harvested,ha,1964,500.0
334,Belgium-Luxembourg,Area harvested,ha,1965,500.0
335,Belgium-Luxembourg,Area harvested,ha,1966,500.0
336,Belgium-Luxembourg,Area harvested,ha,1967,500.0
337,Belgium-Luxembourg,Area harvested,ha,1968,500.0
338,Belgium-Luxembourg,Area harvested,ha,1969,500.0
339,Belgium-Luxembourg,Area harvested,ha,1970,500.0
340,Belgium-Luxembourg,Area harvested,ha,1971,500.0
341,Belgium-Luxembourg,Area harvested,ha,1972,500.0
342,Belgium-Luxembourg,Area harvested,ha,1973,500.0
343,Belgium-Luxembourg,Area harvested,ha,1974,500.0
344,Belgium-Luxembourg,Area harvested,ha,1975,500.0
345,Belgium-Luxembourg,Area harvested,ha,1976,500.0
346,Belgium-Luxembourg,Area harvested,ha,1977,600.0
347,Belgium-Luxembourg,Area harvested,ha,1978,600.0
348,Belgium-Luxembourg,Area harvested,ha,1979,600.0
349,Belgium-Luxembourg,Area harvested,ha,1980,600.0
350,Belgium-Luxembourg,Area harvested,ha,1981,600.0
351,Belgium-Luxembourg,Area harvested,ha,1982,800.0
352,Belgium-Luxembourg,Area harvested,ha,1983,700.0
353,Belgium-Luxembourg,Area harvested,ha,1984,700.0
354,Belgium-Luxembourg,Area harvested,ha,1985,700.0
355,Belgium-Luxembourg,Area harvested,ha,1986,800.0
356,Belgium-Luxembourg,Area harvested,ha,1987,800.0
357,Belgium-Luxembourg,Area harvested,ha,1988,700.0
358,Belgium-Luxembourg,Area harvested,ha,1989,800.0
359,Belgium-Luxembourg,Area harvested,ha,1990,800.0
360,Belgium-Luxembourg,Area harvested,ha,1991,800.0
361,Belgium-Luxembourg,Area harvested,ha,1992,782.0
362,Belgium-Luxembourg,Area harvested,ha,1993,828.0
363,Belgium-Luxembourg,Area harvested,ha,1994,1100.0
364,Belgium-Luxembourg,Area harvested,ha,1995,1400.0
365,Belgium-Luxembourg,Area harvested,ha,1996,1200.0
366,Belgium-Luxembourg,Area harvested,ha,1997,1100.0
367,Belgium-Luxembourg,Area harvested,ha,1998,1200.0
368,Belgium-Luxembourg,Area harvested,ha,1999,1400.0
369,Belgium-Luxembourg,Yield,hg/ha,1961,555625.0
370,Belgium-Luxembourg,Yield,hg/ha,1962,430000.0
371,Belgium-Luxembourg,Yield,hg/ha,1963,342500.0
372,Belgium-Luxembourg,Yield,hg/ha,1964,543600.0
373,Belgium-Luxembourg,Yield,hg/ha,1965,544800.0
374,Belgium-Luxembourg,Yield,hg/ha,1966,624000.0
375,Belgium-Luxembourg,Yield,hg/ha,1967,624000.0
376,Belgium-Luxembourg,Yield,hg/ha,1968,404000.0
377,Belgium-Luxembourg,Yield,hg/ha,1969,676000.0
378,Belgium-Luxembourg,Yield,hg/ha,1970,700000.0
379,Belgium-Luxembourg,Yield,hg/ha,1971,652000.0
380,Belgium-Luxembourg,Yield,hg/ha,1972,715000.0
381,Belgium-Luxembourg,Yield,hg/ha,1973,614000.0
382,Belgium-Luxembourg,Yield,hg/ha,1974,560000.0
383,Belgium-Luxembourg,Yield,hg/ha,1975,448000.0
384,Belgium-Luxembourg,Yield,hg/ha,1976,399600.0
385,Belgium-Luxembourg,Yield,hg/ha,1977,394167.0
386,Belgium-Luxembourg,Yield,hg/ha,1978,378333.0
387,Belgium-Luxembourg,Yield,hg/ha,1979,384667.0
388,Belgium-Luxembourg,Yield,hg/ha,1980,391667.0
389,Belgium-Luxembourg,Yield,hg/ha,1981,346667.0
390,Belgium-Luxembourg,Yield,hg/ha,1982,301250.0
391,Belgium-Luxembourg,Yield,hg/ha,1983,362143.0
392,Belgium-Luxembourg,Yield,hg/ha,1984,362857.0
393,Belgium-Luxembourg,Yield,hg/ha,1985,331857.0
394,Belgium-Luxembourg,Yield,hg/ha,1986,312750.0
395,Belgium-Luxembourg,Yield,hg/ha,1987,337500.0
396,Belgium-Luxembourg,Yield,hg/ha,1988,401429.0
397,Belgium-Luxembourg,Yield,hg/ha,1989,322500.0
398,Belgium-Luxembourg,Yield,hg/ha,1990,425000.0
399,Belgium-Luxembourg,Yield,hg/ha,1991,381250.0
400,Belgium-Luxembourg,Yield,hg/ha,1992,407928.0
401,Belgium-Luxembourg,Yield,hg/ha,1993,422705.0
402,Belgium-Luxembourg,Yield,hg/ha,1994,290909.0
403,Belgium-Luxembourg,Yield,hg/ha,1995,285714.0
404,Belgium-Luxembourg,Yield,hg/ha,1996,358333.0
405,Belgium-Luxembourg,Yield,hg/ha,1997,325000.0
406,Belgium-Luxembourg,Yield,hg/ha,1998,400833.0
407,Belgium-Luxembourg,Yield,hg/ha,1999,348379.0
408,Belgium-Luxembourg,Production,tonnes,1961,22225.0
409,Belgium-Luxembourg,Production,tonnes,1962,17200.0
410,Belgium-Luxembourg,Production,tonnes,1963,13700.0
411,Belgium-Luxembourg,Production,tonnes,1964,27180.0
412,Belgium-Luxembourg,Production,tonnes,1965,27240.0
413,Belgium-Luxembourg,Production,tonnes,1966,31200.0
414,Belgium-Luxembourg,Production,tonnes,1967,31200.0
415,Belgium-Luxembourg,Production,tonnes,1968,20200.0
416,Belgium-Luxembourg,Production,tonnes,1969,33800.0
417,Belgium-Luxembourg,Production,tonnes,1970,35000.0
418,Belgium-Luxembourg,Production,tonnes,1971,32600.0
419,Belgium-Luxembourg,Production,tonnes,1972,35750.0
420,Belgium-Luxembourg,Production,tonnes,1973,30700.0
421,Belgium-Luxembourg,Production,tonnes,1974,28000.0
422,Belgium-Luxembourg,Production,tonnes,1975,22400.0
423,Belgium-Luxembourg,Production,tonnes,1976,19980.0
424,Belgium-Luxembourg,Production,tonnes,1977,23650.0
425,Belgium-Luxembourg,Production,tonnes,1978,22700.0
426,Belgium-Luxembourg,Production,tonnes,1979,23080.0
427,Belgium-Luxembourg,Production,tonnes,1980,23500.0
428,Belgium-Luxembourg,Production,tonnes,1981,20800.0
429,Belgium-Luxembourg,Production,tonnes,1982,24100.0
430,Belgium-Luxembourg,Production,tonnes,1983,25350.0
431,Belgium-Luxembourg,Production,tonnes,1984,25400.0
432,Belgium-Luxembourg,Production,tonnes,1985,23230.0
433,Belgium-Luxembourg,Production,tonnes,1986,25020.0
434,Belgium-Luxembourg,Production,tonnes,1987,27000.0
435,Belgium-Luxembourg,Production,tonnes,1988,28100.0
436,Belgium-Luxembourg,Production,tonnes,1989,25800.0
437,Belgium-Luxembourg,Production,tonnes,1990,34000.0
438,Belgium-Luxembourg,Production,tonnes,1991,30500.0
439,Belgium-Luxembourg,Production,tonnes,1992,31900.0
440,Belgium-Luxembourg,Production,tonnes,1993,35000.0
441,Belgium-Luxembourg,Production,tonnes,1994,32000.0
442,Belgium-Luxembourg,Production,tonnes,1995,40000.0
443,Belgium-Luxembourg,Production,tonnes,1996,43000.0
444,Belgium-Luxembourg,Production,tonnes,1997,35750.0
445,Belgium-Luxembourg,Production,tonnes,1998,48100.0
446,Belgium-Luxembourg,Production,tonnes,1999,48773.0
447,Bosnia and Herzegovina,Area harvested,ha,1992,3330.0
448,Bosnia and Herzegovina,Area harvested,ha,1993,1100.0
449,Bosnia and Herzegovina,Area harvested,ha,1994,1058.0
450,Bosnia and Herzegovina,Area harvested,ha,1995,978.0
451,Bosnia and Herzegovina,Area harvested,ha,1996,1042.0
452,Bosnia and Herzegovina,Area harvested,ha,1997,1224.0
453,Bosnia and Herzegovina,Area harvested,ha,1998,1416.0
454,Bosnia and Herzegovina,Area harvested,ha,1999,1673.0
455,Bosnia and Herzegovina,Area harvested,ha,2000,1656.0
456,Bosnia and Herzegovina,Area harvested,ha,2001,1944.0
457,Bosnia and Herzegovina,Area harvested,ha,2002,1530.0
458,Bosnia and Herzegovina,Area harvested,ha,2003,1118.0
459,Bosnia and Herzegovina,Area harvested,ha,2004,1000.0
460,Bosnia and Herzegovina,Area harvested,ha,2005,1600.0
461,Bosnia and Herzegovina,Area harvested,ha,2006,1310.0
462,Bosnia and Herzegovina,Area harvested,ha,2007,1363.0
463,Bosnia and Herzegovina,Area harvested,ha,2008,1398.0
464,Bosnia and Herzegovina,Area harvested,ha,2009,1335.0
465,Bosnia and Herzegovina,Area harvested,ha,2010,1244.0
466,Bosnia and Herzegovina,Area harvested,ha,2011,1174.0
467,Bosnia and Herzegovina,Area harvested,ha,2012,1291.0
468,Bosnia and Herzegovina,Area harvested,ha,2013,1173.0
469,Bosnia and Herzegovina,Area harvested,ha,2014,1210.0
470,Bosnia and Herzegovina,Area harvested,ha,2015,1259.0
471,Bosnia and Herzegovina,Area harvested,ha,2016,1332.0
472,Bosnia and Herzegovina,Area harvested,ha,2017,1335.0
473,Bosnia and Herzegovina,Area harvested,ha,2018,1288.0
474,Bosnia and Herzegovina,Area harvested,ha,2019,1300.0
475,Bosnia and Herzegovina,Yield,hg/ha,1992,32459.0
476,Bosnia and Herzegovina,Yield,hg/ha,1993,54545.0
477,Bosnia and Herzegovina,Yield,hg/ha,1994,47259.0
478,Bosnia and Herzegovina,Yield,hg/ha,1995,49080.0
479,Bosnia and Herzegovina,Yield,hg/ha,1996,52236.0
480,Bosnia and Herzegovina,Yield,hg/ha,1997,45760.0
481,Bosnia and Herzegovina,Yield,hg/ha,1998,43446.0
482,Bosnia and Herzegovina,Yield,hg/ha,1999,42767.0
483,Bosnia and Herzegovina,Yield,hg/ha,2000,42929.0
484,Bosnia and Herzegovina,Yield,hg/ha,2001,35838.0
485,Bosnia and Herzegovina,Yield,hg/ha,2002,38562.0
486,Bosnia and Herzegovina,Yield,hg/ha,2003,43014.0
487,Bosnia and Herzegovina,Yield,hg/ha,2004,50000.0
488,Bosnia and Herzegovina,Yield,hg/ha,2005,42788.0
489,Bosnia and Herzegovina,Yield,hg/ha,2006,64191.0
490,Bosnia and Herzegovina,Yield,hg/ha,2007,97902.0
491,Bosnia and Herzegovina,Yield,hg/ha,2008,56702.0
492,Bosnia and Herzegovina,Yield,hg/ha,2009,69288.0
493,Bosnia and Herzegovina,Yield,hg/ha,2010,82781.0
494,Bosnia and Herzegovina,Yield,hg/ha,2011,75102.0
495,Bosnia and Herzegovina,Yield,hg/ha,2012,67258.0
496,Bosnia and Herzegovina,Yield,hg/ha,2013,78542.0
497,Bosnia and Herzegovina,Yield,hg/ha,2014,70025.0
498,Bosnia and Herzegovina,Yield,hg/ha,2015,73916.0
499,Bosnia and Herzegovina,Yield,hg/ha,2016,76742.0
500,Bosnia and Herzegovina,Yield,hg/ha,2017,73356.0
501,Bosnia and Herzegovina,Yield,hg/ha,2018,76297.0
502,Bosnia and Herzegovina,Yield,hg/ha,2019,81400.0
503,Bosnia and Herzegovina,Production,tonnes,1992,10809.0
504,Bosnia and Herzegovina,Production,tonnes,1993,6000.0
505,Bosnia and Herzegovina,Production,tonnes,1994,5000.0
506,Bosnia and Herzegovina,Production,tonnes,1995,4800.0
507,Bosnia and Herzegovina,Production,tonnes,1996,5443.0
508,Bosnia and Herzegovina,Production,tonnes,1997,5601.0
509,Bosnia and Herzegovina,Production,tonnes,1998,6152.0
510,Bosnia and Herzegovina,Production,tonnes,1999,7155.0
511,Bosnia and Herzegovina,Production,tonnes,2000,7109.0
512,Bosnia and Herzegovina,Production,tonnes,2001,6967.0
513,Bosnia and Herzegovina,Production,tonnes,2002,5900.0
514,Bosnia and Herzegovina,Production,tonnes,2003,4809.0
515,Bosnia and Herzegovina,Production,tonnes,2004,5000.0
516,Bosnia and Herzegovina,Production,tonnes,2005,6846.0
517,Bosnia and Herzegovina,Production,tonnes,2006,8409.0
518,Bosnia and Herzegovina,Production,tonnes,2007,13344.0
519,Bosnia and Herzegovina,Production,tonnes,2008,7927.0
520,Bosnia and Herzegovina,Production,tonnes,2009,9250.0
521,Bosnia and Herzegovina,Production,tonnes,2010,10298.0
522,Bosnia and Herzegovina,Production,tonnes,2011,8817.0
523,Bosnia and Herzegovina,Production,tonnes,2012,8683.0
524,Bosnia and Herzegovina,Production,tonnes,2013,9213.0
525,Bosnia and Herzegovina,Production,tonnes,2014,8473.0
526,Bosnia and Herzegovina,Production,tonnes,2015,9306.0
527,Bosnia and Herzegovina,Production,tonnes,2016,10222.0
528,Bosnia and Herzegovina,Production,tonnes,2017,9793.0
529,Bosnia and Herzegovina,Production,tonnes,2018,9827.0
